acceleration,inclination,orientation,pitch,roll,timestamp,x,y,z
1.08,-87.36,1,1.91,-46.32,1697678658077,0.04,-0.78,-0.74
1.09,-86.8,1,2.32,-46.44,1697678658280,0.04,-0.79,-0.75
1.08,-87.93,1,1.48,-45.73,1697678658281,0.03,-0.78,-0.76
1.08,-87.3,1,1.92,-45.27,1697678658359,0.04,-0.76,-0.76
1.08,-88.24,1,1.28,-46.34,1697678658459,0.02,-0.78,-0.74
1.08,-88.56,1,1.06,-47.23,1697678658559,0.02,-0.8,-0.74
1.08,-88.26,1,1.28,-47.09,1697678658693,0.02,-0.79,-0.73
1.1,-88.04,1,1.46,-48.22,1697678658760,0.03,-0.82,-0.73
1.08,-89.42,1,0.42,-47.4,1697678658860,0.01,-0.8,-0.73
1.08,-89.42,1,0.43,-47.25,1697678659135,0.01,-0.79,-0.73
1.08,-87.44,1,1.92,-48.28,1697678659136,0.04,-0.8,-0.72
1.08,-88.32,1,1.27,-49.18,1697678659211,0.02,-0.82,-0.71
1.08,-88.58,1,1.06,-48.14,1697678659262,0.02,-0.8,-0.72
1.08,-88.62,1,1.06,-50.26,1697678659360,0.02,-0.83,-0.69
1.08,-89.45,1,0.42,-51.01,1697678659460,0.01,-0.84,-0.68
1.09,-89.46,1,0.42,-51.27,1697678659567,0.01,-0.85,-0.68
1.09,-88.14,1,1.48,-52.77,1697678659691,0.03,-0.86,-0.66
1.1,-87.69,1,1.88,-54.47,1697678659761,0.04,-0.89,-0.64
1.11,-89.49,1,0.41,-54.87,1697678659860,0.01,-0.9,-0.64
1.11,-89.5,1,0.41,-55.62,1697678660131,0.01,-0.91,-0.62
1.06,-91.55,-1,-1.3,-57.19,1697678660191,-0.02,-0.89,-0.57
1.12,-88.72,1,1.02,-52.83,1697678660361,0.02,-0.89,-0.68
1.07,-98.65,-1,-5.56,-39.61,1697678660461,-0.1,-0.68,-0.82
1.04,-94.03,-1,-2.42,-36.83,1697678660561,-0.04,-0.62,-0.83
1.05,-89.62,1,0.22,-35.39,1697678660690,0,-0.61,-0.86
1.06,-91.2,-1,-0.65,-32.78,1697678660762,-0.01,-0.57,-0.89
1.05,-88.34,1,0.87,-31.75,1697678660861,0.02,-0.55,-0.89
1.07,-86.08,1,2.14,-32.95,1697678661070,0.04,-0.58,-0.9
1.03,-88.75,1,0.67,-32.57,1697678661072,0.01,-0.55,-0.86
1.09,-86.75,1,1.68,-31.17,1697678661191,0.03,-0.56,-0.93
1.07,-87.05,1,1.5,-30.48,1697678661262,0.03,-0.54,-0.92
1.08,-86.97,1,1.69,-33.85,1697678661362,0.03,-0.6,-0.9
1.15,-89.29,1,0.4,-34.13,1697678661462,0.01,-0.65,-0.96
1.12,-96.19,-1,-2.88,-27.54,1697678661562,-0.06,-0.52,-0.99
0.97,-92.05,-1,-0.94,-27.4,1697678661713,-0.02,-0.45,-0.86
1.07,-99.53,-1,-4.71,-29.24,1697678661766,-0.09,-0.52,-0.93
1.07,-100.23,-1,-5.56,-32.45,1697678661862,-0.1,-0.58,-0.9
1.12,-96.17,-1,-4.11,-41.52,1697678662074,-0.08,-0.74,-0.83
1,-97.72,-1,-4.83,-38.46,1697678662076,-0.08,-0.62,-0.78
1.05,-93.91,-1,-2.39,-37.7,1697678662196,-0.04,-0.64,-0.83
1.07,-87.75,1,1.49,-41.51,1697678662263,0.03,-0.71,-0.8
1.05,-85.63,1,3.06,-44.3,1697678662363,0.06,-0.73,-0.75
1.08,-86.39,1,2.56,-44.94,1697678662463,0.05,-0.76,-0.76
1.06,-89.68,1,0.22,-43.31,1697678662563,0,-0.72,-0.77
1.06,-89.09,1,0.65,-45.15,1697678662691,0.01,-0.75,-0.75
1.12,-87.93,1,1.44,-43.97,1697678662763,0.03,-0.78,-0.8
