unixTimestamp,CP3_value,CP3_status,C3_value,C3_status,F5_value,F5_status,PO3_value,PO3_status,PO4_value,PO4_status,F6_value,F6_status,C4_value,C4_status,CP4_value,CP4_status
1697678658045,8.57,great,900.25,bad,47.3,bad,7.25,great,8.83,great,38.12,bad,350.03,bad,10.8,good
1697678658045,8.57,great,900.25,bad,47.3,bad,7.25,great,8.83,great,38.12,bad,350.03,bad,10.8,good
1697678658069,9.18,great,496.1,bad,62.35,bad,5.21,great,5.37,great,7.69,great,400.08,bad,9.38,great
1697678658229,14.41,good,169.55,bad,30.02,bad,9.3,great,8.62,great,8.72,great,84.91,bad,8.66,great
1697678658449,10.09,good,434.72,bad,31.65,bad,12.68,good,11.08,good,33.52,bad,372.16,bad,9.22,great
1697678658722,14.03,good,613.27,bad,33.16,bad,20.43,bad,14.06,good,33.86,bad,795.38,bad,10.48,good
1697678659132,24.06,bad,326.6,bad,46.14,bad,32.9,bad,26.94,bad,20.47,bad,525.46,bad,25.94,bad
1697678659206,16.3,bad,87.78,bad,15.94,bad,19.3,bad,13.39,good,9.07,great,394.47,bad,12.91,good
1697678659521,9.44,great,116.83,bad,9.27,great,13.31,good,9.69,great,13.01,good,101.25,bad,6.9,great
1697678659689,14.63,good,130.87,bad,8.82,great,7,great,7.64,great,7.36,great,176.68,bad,7.25,great
1697678660142,10.33,good,171.64,bad,21.67,bad,9.82,great,9.61,great,26.33,bad,321.96,bad,8.57,great
1697678660185,12.27,good,185.39,bad,28.12,bad,10.52,good,9.31,great,11.04,good,101.53,bad,7.87,great
1697678660437,24.59,bad,674.63,bad,47.38,bad,17.18,bad,16.43,bad,126.07,bad,463.05,bad,13.64,good
1697678660685,51.66,bad,1067.03,bad,173.55,bad,13.35,good,23.98,bad,92.61,bad,1613.53,bad,13.77,good
1697678661081,17.81,bad,1168.84,bad,576.03,bad,9.9,great,20.57,bad,17.07,bad,174.44,bad,11.23,good
1697678661186,10.9,good,362.93,bad,1190.9,bad,24.59,bad,19.58,bad,40.94,bad,463.45,bad,17.48,bad
1697678661431,17.69,bad,613.89,bad,972.11,bad,13.01,good,11.97,good,25.64,bad,631.73,bad,11.59,good
1697678661707,35.39,bad,4565.22,bad,878.94,bad,44.98,bad,37.47,bad,142.19,bad,1577.25,bad,185.71,bad
1697678662071,33.08,bad,4128.13,bad,1097.97,bad,37.46,bad,36.59,bad,221.8,bad,1045.66,bad,109.57,bad
1697678662189,199.6,bad,3375.9,bad,1803.59,bad,74.82,bad,12.17,good,126.68,bad,5257.42,bad,114.1,bad
1697678662436,230.02,bad,3445.73,bad,849.88,bad,55.83,bad,36.05,bad,278.19,bad,4175.07,bad,97.56,bad
1697678662692,42.28,bad,901.14,bad,265.22,bad,17.63,bad,11.41,good,130.52,bad,1989.49,bad,26.26,bad
1697678662950,69.81,bad,836.86,bad,162.17,bad,16.24,bad,19.87,bad,107.87,bad,1616.05,bad,23.95,bad
1697678663205,87.12,bad,920.22,bad,135.47,bad,14.98,good,19.9,bad,82.62,bad,1207.02,bad,11.59,good
1697678663432,37.22,bad,655.5,bad,82.4,bad,17.21,bad,13.18,good,41.75,bad,520.97,bad,17.2,bad
1697678663690,18.62,bad,1074.33,bad,93.4,bad,24.18,bad,16.36,bad,17.32,bad,210.34,bad,20.91,bad
1697678663986,17.96,bad,610.23,bad,53.35,bad,10.61,good,14.68,good,15.38,bad,139.2,bad,186.4,bad
1697678664204,16.27,bad,855.51,bad,52.31,bad,18.33,bad,10.87,good,14.3,good,289.91,bad,43.47,bad
1697678664432,83.15,bad,835.31,bad,21.19,bad,18.47,bad,10.18,good,20.29,bad,140.46,bad,19.76,bad
1697678664688,62.32,bad,609.58,bad,53.31,bad,36.66,bad,15.03,bad,65.9,bad,386.24,bad,15.78,bad
1697678664951,72.49,bad,1480.32,bad,67.32,bad,27.11,bad,7.74,great,41.15,bad,1191.25,bad,13.7,good
1697678665186,37.55,bad,980.28,bad,53.42,bad,18.66,bad,7.5,great,36.85,bad,791.68,bad,11.08,good
1697678665437,26.38,bad,294.56,bad,14.65,good,10.75,good,9.13,great,15.4,bad,239.65,bad,8.38,great
1697678665698,20.43,bad,120.32,bad,10.02,good,12.39,good,9.95,great,8.2,great,88.56,bad,7.24,great
1697678665958,20.63,bad,66.14,bad,30.57,bad,7.31,great,7.68,great,9.04,great,21.03,bad,6.53,great
