acceleration,inclination,orientation,pitch,roll,timestamp,x,y,z
1.1,-91.36,-1,-1.04,-50.32,1705700582963,-0.02,-0.84,-0.7
1.1,-92.68,-1,-2.08,-51,1705700583044,-0.04,-0.86,-0.69
1.09,-91.91,-1,-1.47,-50.17,1705700583306,-0.03,-0.84,-0.7
1.09,-91.92,-1,-1.47,-49.88,1705700583307,-0.03,-0.84,-0.7
1.09,-91.64,-1,-1.26,-50.18,1705700583344,-0.02,-0.84,-0.7
1.1,-91.88,-1,-1.45,-50.57,1705700583463,-0.03,-0.85,-0.7
1.11,-92.69,-1,-2.07,-50.39,1705700583544,-0.04,-0.85,-0.7
1.09,-91.09,-1,-0.84,-50.51,1705700583662,-0.02,-0.84,-0.69
1.09,-92.73,-1,-2.1,-50.31,1705700583744,-0.04,-0.84,-0.7
1.09,-91.89,-1,-1.47,-50.76,1705700583844,-0.03,-0.85,-0.69
1.11,-92.14,-1,-1.65,-50.54,1705700583962,-0.03,-0.86,-0.7
1.09,-91.11,-1,-0.84,-49.3,1705700584045,-0.02,-0.83,-0.71
1.1,-92.98,-1,-2.3,-50.27,1705700584276,-0.04,-0.84,-0.7
1.1,-91.92,-1,-1.45,-49.24,1705700584484,-0.03,-0.84,-0.72
1.11,-94.34,-1,-3.3,-49.42,1705700584546,-0.06,-0.84,-0.72
1.11,-92.41,-1,-1.86,-50.69,1705700584645,-0.04,-0.86,-0.7
1.09,-93,-1,-2.32,-50.46,1705700584745,-0.04,-0.84,-0.69
1.1,-91.62,-1,-1.25,-50.44,1705700584845,-0.02,-0.85,-0.7
1.09,-92.71,-1,-2.09,-50.44,1705700584966,-0.04,-0.84,-0.7
1.09,-92.74,-1,-2.11,-50.34,1705700585045,-0.04,-0.84,-0.69
1.12,-91.06,-1,-0.82,-50.95,1705700585230,-0.02,-0.87,-0.7
1.08,-91.11,-1,-0.85,-49.78,1705700585246,-0.02,-0.83,-0.7
1.09,-91.09,-1,-0.84,-50.19,1705700585346,-0.02,-0.84,-0.7
1.1,-92.45,-1,-1.88,-50,1705700585472,-0.04,-0.84,-0.7
1.11,-92.16,-1,-1.66,-50.11,1705700585546,-0.03,-0.85,-0.71
1.12,-93.48,-1,-2.67,-50.02,1705700585647,-0.05,-0.86,-0.72
1.07,-91.98,-1,-1.5,-49.07,1705700585746,-0.03,-0.81,-0.7
1.1,-93.81,-1,-2.92,-49.94,1705700585846,-0.06,-0.84,-0.7
1.11,-89.73,1,0.21,-50.11,1705700586098,0,-0.85,-0.71
1.09,-92.48,-1,-1.89,-49.57,1705700586099,-0.04,-0.83,-0.71
1.08,-91.66,-1,-1.28,-50.26,1705700586146,-0.02,-0.83,-0.69
1.07,-90.83,-1,-0.64,-50.14,1705700586247,-0.01,-0.82,-0.69
1.1,-92.44,-1,-1.88,-50.29,1705700586346,-0.04,-0.84,-0.7
1.09,-91.65,-1,-1.26,-49.59,1705700586466,-0.02,-0.83,-0.71
1.09,-92.17,-1,-1.68,-50.46,1705700586547,-0.03,-0.84,-0.7
1.1,-92.41,-1,-1.87,-51.01,1705700586647,-0.04,-0.86,-0.69
1.1,-92.97,-1,-2.29,-50.25,1705700586747,-0.04,-0.85,-0.7
1.09,-93.04,-1,-2.31,-49.41,1705700586847,-0.04,-0.83,-0.71
1.09,-92.48,-1,-1.89,-49.73,1705700587098,-0.04,-0.83,-0.7
1.1,-91.88,-1,-1.46,-50.73,1705700587100,-0.03,-0.85,-0.7
1.1,-91.35,-1,-1.04,-50.61,1705700587147,-0.02,-0.85,-0.7
1.1,-91.88,-1,-1.46,-50.73,1705700587247,-0.03,-0.85,-0.7
1.09,-92.98,-1,-2.3,-50.43,1705700587347,-0.04,-0.84,-0.7
1.1,-92.18,-1,-1.67,-49.85,1705700587466,-0.03,-0.84,-0.71
1.09,-91.92,-1,-1.47,-49.88,1705700587547,-0.03,-0.84,-0.7
1.11,-92.16,-1,-1.66,-50.11,1705700587647,-0.03,-0.85,-0.71
1.09,-92.49,-1,-1.89,-49.43,1705700587747,-0.04,-0.83,-0.71
1.1,-91.08,-1,-0.83,-50.59,1705700587848,-0.02,-0.85,-0.7
1.09,-91.91,-1,-1.47,-50.17,1705700588098,-0.03,-0.84,-0.7
1.09,-90.82,-1,-0.63,-50.22,1705700588100,-0.01,-0.84,-0.7
1.1,-92.16,-1,-1.66,-50.27,1705700588148,-0.03,-0.85,-0.7
1.1,-92.45,-1,-1.87,-49.52,1705700588248,-0.04,-0.84,-0.72
1.09,-92.2,-1,-1.68,-49.73,1705700588348,-0.03,-0.83,-0.7
1.1,-92.71,-1,-2.08,-49.96,1705700588462,-0.04,-0.84,-0.71
1.11,-91.63,-1,-1.24,-49.67,1705700588579,-0.02,-0.84,-0.72
1.1,-92.47,-1,-1.87,-49.39,1705700588649,-0.04,-0.84,-0.72
1.1,-91.92,-1,-1.46,-49.56,1705700588749,-0.03,-0.84,-0.71
1.1,-92.44,-1,-1.87,-49.97,1705700588848,-0.04,-0.84,-0.71
1.09,-91.93,-1,-1.47,-49.58,1705700589126,-0.03,-0.83,-0.71
1.1,-92.48,-1,-1.88,-49.41,1705700589128,-0.04,-0.83,-0.71
1.1,-92.47,-1,-1.88,-49.7,1705700589149,-0.04,-0.84,-0.71
1.09,-91.65,-1,-1.26,-49.91,1705700589249,-0.02,-0.83,-0.7
1.09,-92.2,-1,-1.68,-49.57,1705700589349,-0.03,-0.83,-0.71
1.09,-91.92,-1,-1.47,-49.88,1705700589514,-0.03,-0.84,-0.7
1.1,-91.92,-1,-1.46,-49.56,1705700589550,-0.03,-0.84,-0.71
1.09,-92.45,-1,-1.89,-50.32,1705700589649,-0.04,-0.84,-0.7
1.11,-91.34,-1,-1.04,-50.71,1705700589749,-0.02,-0.86,-0.7
1.1,-91.62,-1,-1.25,-50.44,1705700589849,-0.02,-0.85,-0.7
1.1,-91.63,-1,-1.25,-49.99,1705700590140,-0.02,-0.84,-0.71
1.1,-91.9,-1,-1.46,-50.15,1705700590145,-0.03,-0.84,-0.7
1.1,-91.64,-1,-1.25,-49.41,1705700590153,-0.02,-0.84,-0.72
1.1,-91.64,-1,-1.25,-49.56,1705700590307,-0.02,-0.84,-0.71
1.09,-92.2,-1,-1.68,-49.73,1705700590350,-0.03,-0.83,-0.7
1.09,-91.37,-1,-1.05,-49.89,1705700590466,-0.02,-0.84,-0.7
1.09,-92.48,-1,-1.9,-49.89,1705700590550,-0.04,-0.83,-0.7
1.1,-91.64,-1,-1.25,-50.02,1705700590650,-0.02,-0.84,-0.7
1.1,-91.9,-1,-1.46,-50.15,1705700590750,-0.03,-0.84,-0.7
1.1,-92.19,-1,-1.67,-49.71,1705700590972,-0.03,-0.84,-0.71
1.08,-91.94,-1,-1.48,-49.77,1705700590973,-0.03,-0.83,-0.7
1.1,-91.91,-1,-1.46,-50.01,1705700591050,-0.03,-0.84,-0.7
1.09,-91.92,-1,-1.47,-49.88,1705700591150,-0.03,-0.84,-0.7
1.1,-91.91,-1,-1.46,-50.01,1705700591250,-0.03,-0.84,-0.7
1.11,-92.42,-1,-1.85,-49.92,1705700591350,-0.04,-0.85,-0.72
1.1,-91.9,-1,-1.46,-50.31,1705700591463,-0.03,-0.84,-0.7
1.1,-91.64,-1,-1.25,-49.86,1705700591550,-0.02,-0.84,-0.71
1.09,-92.48,-1,-1.89,-49.73,1705700591651,-0.04,-0.83,-0.7
