unixTimestamp,CP3_value,CP3_status,C3_value,C3_status,F5_value,F5_status,PO3_value,PO3_status,PO4_value,PO4_status,F6_value,F6_status,C4_value,C4_status,CP4_value,CP4_status
1705700582907,7.32,great,7.97,great,11.03,good,7.32,great,7.78,great,7.59,great,18.6,bad,8.57,great
1705700582907,7.32,great,7.97,great,11.03,good,7.32,great,7.78,great,7.59,great,18.6,bad,8.57,great
1705700582956,8.11,great,9.09,great,9.48,great,8.42,great,8.72,great,9.41,great,10.82,good,8.99,great
1705700583292,7,great,6.8,great,10,good,7.89,great,9.4,great,12.58,good,12.26,good,9.51,great
1705700583461,6.77,great,6.47,great,8.08,great,9.2,great,10.28,good,11.23,good,10.63,good,8.86,great
1705700583717,5.26,great,6.96,great,6.53,great,7.15,great,6.12,great,6.33,great,6.91,great,6.54,great
1705700583961,5.76,great,6.32,great,6.14,great,8.71,great,7.32,great,16.82,bad,8.9,great,8.68,great
1705700584284,6.4,great,6.34,great,7.79,great,9.1,great,8.08,great,11.82,good,7.12,great,7.65,great
1705700584481,4.27,great,4.88,great,5.88,great,5.52,great,3.86,great,9.8,great,5.26,great,5.63,great
1705700584718,5.83,great,6.94,great,6.33,great,7.12,great,8.83,great,7.2,great,4.67,great,6.02,great
1705700584965,6.91,great,6.5,great,7.84,great,8.82,great,7.66,great,6.3,great,8.42,great,6.9,great
1705700585229,6.49,great,7.5,great,9.52,great,6.32,great,7.72,great,8.73,great,10.55,good,8.45,great
1705700585471,6.18,great,7.09,great,6.86,great,7.2,great,7.57,great,6.11,great,6.53,great,6.47,great
1705700585717,8.37,great,9.86,great,9.03,great,10.51,good,10.64,good,10.43,good,11.76,good,8.26,great
1705700586101,7.49,great,8.25,great,8.95,great,7.72,great,15.5,bad,7.76,great,8.59,great,8.65,great
1705700586806,7.39,great,7.82,great,7.18,great,7.46,great,9.6,great,7.32,great,9.13,great,6.81,great
1705700586808,7.43,great,6.46,great,7.45,great,7.5,great,9.28,great,8.81,great,9.49,great,7.66,great
1705700586825,5.32,great,5.49,great,5.4,great,5.5,great,6.21,great,8.17,great,6.55,great,6.53,great
1705700587103,8.14,great,9.52,great,9.36,great,8.8,great,8.43,great,10.63,good,9.83,great,10.54,good
1705700587216,6.46,great,8.33,great,7.9,great,7.97,great,6.71,great,8.89,great,8.15,great,8.17,great
1705700587468,8.9,great,6.87,great,8.04,great,10.04,good,9.94,great,6.83,great,9.82,great,9.27,great
1705700587715,6.96,great,6.31,great,6.28,great,7.56,great,6.62,great,5.41,great,8.13,great,5.47,great
1705700588104,5.92,great,5.21,great,3.58,great,6.13,great,8.07,great,7.22,great,5.93,great,5.28,great
1705700588207,8.4,great,9.68,great,9.29,great,11.55,good,10.23,good,10.62,good,9.95,great,9.75,great
1705700588456,5.25,great,5.58,great,4.54,great,5.03,great,11.82,good,8.31,great,7.74,great,6.32,great
